user_message,intent
Günaydın Detaylı bilgi alabilir miyim?,selamlama
Merhaba,selamlama
Günaydın Rica etsem açıklar mısınız?,selamlama
Yardımcı olabilir misiniz? Örnek verebilir misiniz?,selamlama
Günaydın Kısaca açıklar mısınız?,selamlama
Yardımcı olabilir misiniz? Detaylı bilgi alabilir miyim?,selamlama
Selam Kısaca açıklar mısınız?,selamlama
Selam Örnek verebilir misiniz?,selamlama
İyi akşamlar Rica etsem açıklar mısınız?,selamlama
Merhaba Kısaca açıklar mısınız?,selamlama
Merhaba Rica etsem açıklar mısınız?,selamlama
Merhaba Örnek verebilir misiniz?,selamlama
Selam Detaylı bilgi alabilir miyim?,selamlama
Günaydın Örnek verebilir misiniz?,selamlama
İyi akşamlar Kısaca açıklar mısınız?,selamlama
İyi akşamlar Kısaca açıklar mısınız?,selamlama
Günaydın Kısaca açıklar mısınız?,selamlama
Günaydın Detaylı bilgi alabilir miyim?,selamlama
Yardımcı olabilir misiniz? Detaylı bilgi alabilir miyim?,selamlama
Merhaba Detaylı bilgi alabilir miyim?,selamlama
İyi akşamlar Rica etsem açıklar mısınız?,selamlama
Günaydın Kısaca açıklar mısınız?,selamlama
Selam,selamlama
Merhaba Rica etsem açıklar mısınız?,selamlama
Günaydın Kısaca açıklar mısınız?,selamlama
Günaydın Detaylı bilgi alabilir miyim?,selamlama
Selam Örnek verebilir misiniz?,selamlama
Selam,selamlama
Merhaba,selamlama
Yardımcı olabilir misiniz?,selamlama
İyi akşamlar Kısaca açıklar mısınız?,selamlama
Günaydın Rica etsem açıklar mısınız?,selamlama
Günaydın Detaylı bilgi alabilir miyim?,selamlama
Selam Örnek verebilir misiniz?,selamlama
İyi akşamlar,selamlama
Günaydın Kısaca açıklar mısınız?,selamlama
İyi akşamlar Örnek verebilir misiniz?,selamlama
Merhaba Kısaca açıklar mısınız?,selamlama
Günaydın Rica etsem açıklar mısınız?,selamlama
İyi akşamlar Kısaca açıklar mısınız?,selamlama
Selam Örnek verebilir misiniz?,selamlama
İyi akşamlar Rica etsem açıklar mısınız?,selamlama
Günaydın,selamlama
Selam Örnek verebilir misiniz?,selamlama
Yardımcı olabilir misiniz? Detaylı bilgi alabilir miyim?,selamlama
Günaydın,selamlama
Günaydın,selamlama
Selam Kısaca açıklar mısınız?,selamlama
Merhaba Rica etsem açıklar mısınız?,selamlama
Merhaba,selamlama
Selam Örnek verebilir misiniz?,selamlama
İyi akşamlar Kısaca açıklar mısınız?,selamlama
İyi akşamlar Detaylı bilgi alabilir miyim?,selamlama
Günaydın Detaylı bilgi alabilir miyim?,selamlama
İyi akşamlar Rica etsem açıklar mısınız?,selamlama
Merhaba Kısaca açıklar mısınız?,selamlama
İyi akşamlar Kısaca açıklar mısınız?,selamlama
Merhaba Örnek verebilir misiniz?,selamlama
İyi akşamlar Rica etsem açıklar mısınız?,selamlama
Selam Detaylı bilgi alabilir miyim?,selamlama
Hoşçakalın Örnek verebilir misiniz?,veda
Görüşmek üzere,veda
Sağ olun Kısaca açıklar mısınız?,veda
Görüşmek üzere Detaylı bilgi alabilir miyim?,veda
Teşekkür ederim,veda
Teşekkür ederim Örnek verebilir misiniz?,veda
Hoşçakalın Örnek verebilir misiniz?,veda
İyi çalışmalar Kısaca açıklar mısınız?,veda
İyi çalışmalar Örnek verebilir misiniz?,veda
Görüşmek üzere,veda
İyi çalışmalar Kısaca açıklar mısınız?,veda
Hoşçakalın Örnek verebilir misiniz?,veda
İyi çalışmalar Kısaca açıklar mısınız?,veda
Teşekkür ederim Kısaca açıklar mısınız?,veda
Sağ olun Örnek verebilir misiniz?,veda
İyi çalışmalar Kısaca açıklar mısınız?,veda
Görüşmek üzere,veda
İyi çalışmalar Rica etsem açıklar mısınız?,veda
Görüşmek üzere Detaylı bilgi alabilir miyim?,veda
Sağ olun Kısaca açıklar mısınız?,veda
Hoşçakalın Kısaca açıklar mısınız?,veda
Hoşçakalın Örnek verebilir misiniz?,veda
Görüşmek üzere Kısaca açıklar mısınız?,veda
Hoşçakalın Detaylı bilgi alabilir miyim?,veda
Sağ olun Rica etsem açıklar mısınız?,veda
Görüşmek üzere,veda
Teşekkür ederim Detaylı bilgi alabilir miyim?,veda
İyi çalışmalar Detaylı bilgi alabilir miyim?,veda
